행정구역별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,2841869,2795088,4705612,4411656,4428878,4384894,4142174,4145371,4128438,3979557
부산광역시,869380,896286,1314707,1339246,1407681,1436918,1320533,1308769,1312041,1212535
대구광역시,343468,648420,984606,947515,944865,930443,916973,901852,941513,915361
인천광역시,638434,627534,1194898,1193957,1164211,1204335,1202374,1213645,1247815,1197564
광주광역시,217628,319207,557031,571820,584389,630819,566697,564405,566011,555313
대전광역시,435618,449234,577208,535757,538003,557940,539628,532743,530705,502322
울산광역시,126308,164298,383793,373805,396696,400710,379084,371273,369075,34069
세종특별자치시,17135,454891,366705,710658,771690,847244,830541,795179,789512,754670
경기도,2869191,3244964,4313203,4242034,4288943,4400681,4426591,4375613,4452121,4293428
강원도,170174,201529,558340,537325,525614,555557,549698,527839,519160,494967
충청북도,257857,378042,544377,521721,532252,556137,575737,582702,588622,573172
충청남도,17135,195831,366705,710658,771690,847244,830541,795179,789512,754670
전라북도,237066,279449,635098,642121,672248,717894,694284,646537,651265,645343
전라남도,153659,454891,726543,533670,590482,618472,595303,587168,615037,606395
경상북도,215445,272255,946761,913520,911562,916263,872900,863497,882696,853834
경상남도,329076,667217,1037975,998194,1024191,1084059,1028446,1001256,1041255,1020931
제주특별자치도,74678,177344,268763,305106,323178,324710,312168,312778,315270,302134
